State,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
Alabama,0.0280,0.0282,-0.0011,-0.0186,-0.0195,-0.0120,-0.0043
Alaska,0.0910,0.0042,0.0316,-0.0707,0.0079,0.0011,-0.1225
Arizona,0.0066,0.0306,-0.0688,-0.0793,-0.0669,-0.0206,-0.0924
Arkansas,0.0573,0.0341,0.0197,-0.0114,-0.0134,0.0026,0.0037
California,0.0024,0.0173,0.0132,0.0016,0.1125,-0.0037,0.2155
Colorado,0.0904,0.0544,-0.0111,-0.0359,0.0090,-0.0057,0.0819
Connecticut,0.0456,0.0281,0.0263,0.0045,0.0087,0.0152,0.0056
Delaware,0.0316,0.0140,0.0151,0.0665,0.0261,0.0497,0.3268
District of Columbia,-0.3347,0.0002,-0.0305,-0.0302,0.0063,-0.0238,0.0526
Florida,0.1490,0.0923,0.0261,0.0061,-0.0128,-0.0289,-0.0221
Georgia,0.1051,0.0488,0.0142,-0.0294,0.0137,0.0012,0.0136
Hawaii,0.0293,0.0155,0.0056,-0.0164,-0.0212,-0.0498,-0.0475
Idaho,0.0259,0.0503,0.0345,0.0905,0.0217,-0.0279,0.1900
Illinois,0.0215,0.0163,-0.0286,-0.0184,-0.0221,-0.0077,-0.0172
Indiana,0.0504,0.0233,-0.0191,-0.0195,-0.0087,-0.0007,-0.0353
Iowa,0.1715,0.0519,-0.0202,-0.0610,-0.3654,-0.0170,-0.0502
Kansas,-0.0095,0.0176,0.0054,0.0409,0.1088,-0.0056,-0.0509
Kentucky,0.0788,0.0292,0.0077,-0.0119,-0.0386,0.0043,-0.0170
Louisiana,0.0165,0.0015,-0.0040,-0.0223,-0.0265,-0.0133,0.0401
Maine,-0.0047,0.0385,-0.0064,0.0187,0.0111,-0.0119,0.0173
Maryland,0.0667,0.0178,0.0162,-0.0145,-0.0196,0.0277,0.0178
Massachusetts,0.0219,0.0129,0.0110,0.0060,0.0031,0.0027,0.0117
Michigan,0.0467,0.0012,-0.0087,-0.0116,-0.0099,0.0084,0.0034
Minnesota,0.0840,0.0370,-0.0222,-0.0149,-0.0116,0.0008,-0.0179
Mississippi,0.0417,0.0413,0.0378,-0.0089,-0.0025,0.0030,0.0152
Missouri,0.0487,0.0629,-0.0013,-0.0278,-0.0601,-0.0147,-0.0211
Montana,0.0563,0.0697,0.0072,-0.0160,-0.0118,-0.0316,-0.0127
Nebraska,0.0292,0.0104,-0.0083,-0.0056,0.0123,-0.0052,0.0127
Nevada,0.0455,0.0120,-0.0698,-0.0461,0.0040,-0.0131,-0.0481
New Hampshire,0.0411,-0.0026,0.0469,0.1474,0.2571,0.2370,0.0995
New Jersey,0.0338,0.0294,0.0022,-0.0377,0.0399,0.0076,0.0109
New Mexico,0.0386,0.0643,-0.0117,-0.0091,-0.0070,-0.0545,-0.0514
New York,0.0135,0.0152,0.0083,-0.0034,-0.0030,0.0009,-0.0040
North Carolina,0.0548,0.0099,-0.0035,0.0071,-0.0037,0.0026,-0.0102
North Dakota,0.0528,0.0592,0.0040,-0.0212,0.0225,-0.0312,-0.0377
Ohio,0.0655,0.0429,0.0173,-0.0335,-0.0151,-0.0154,-0.0230
Oklahoma,0.0441,0.0439,-0.0067,-0.0062,-0.0161,-0.0312,-0.0226
Oregon,0.0522,0.0322,0.0182,0.0086,0.0181,0.0036,-0.0078
Pennsylvania,0.0522,0.0103,-0.0084,-0.0244,-0.0109,-0.0102,-0.0103
Rhode Island,0.0132,-0.0086,-0.0077,-0.0124,-0.0078,-0.0009,0.0053
South Carolina,0.0588,0.0337,-0.0039,-0.0039,0.0162,-0.0081,-0.0227
South Dakota,0.0507,0.0594,-0.0012,-0.0047,-0.0189,0.0483,-0.0526
Tennessee,0.0781,0.0282,0.0084,0.0012,-0.0289,-0.0271,-0.0225
Texas,0.0639,0.0462,0.0147,0.0093,0.0100,0.0271,0.0257
Utah,0.0594,0.0939,0.1121,0.0271,0.0065,0.0591,0.0635
Vermont,0.0496,-0.0249,0.0220,0.0021,-0.0364,0.0074,0.0098
Virginia,0.1322,0.0544,0.0340,-0.0071,-0.0055,-0.0021,-0.0147
Washington,0.0265,-0.0108,-0.0001,0.0164,0.1616,0.0872,0.0908
West Virginia,0.1539,0.1081,0.0679,0.0270,-0.0163,-0.0382,-0.0450
Wisconsin,0.0435,0.0262,-0.0266,-0.0194,-0.0228,-0.0160,0.0200
Wyoming,-0.1405,0.0233,-0.0111,-0.0015,-0.0083,-0.0169,-0.0096
