Field of study,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
 Fine/performing arts ,57713,61132,63979,65099,66530,68337,69864,70904,72270,73568,75097,75000,74195
 Humanities ,27256,28906,29970,31395,32244,33234,33617,34010,34535,34401,34439,32332,30565
 Interdisciplinary studies ,28639,29162,30243,32012,33792,36149,37445,37717,42473,45717,47658,48348,47556
 Letters/English ,53699,53984,54379,55096,55122,55038,55465,53229,52754,53765,52401,50404,45847
 Liberal/general studies ,40480,42106,43751,44898,44255,46940,47095,46963,46717,46961,46790,45260,43647
 Mathematics ,12505,13327,14351,14770,14954,15192,15507,16029,17182,18841,20449,20980,21853
 Science ,77828,79304,83288,89226,95934,99523,102915,109329,114202,121842,127711,133292,139257
 Social and behavioral sciences ,228540,239636,250075,257498,262416,268404,271562,278617,287030,296861,301063,298669,292283
 Agriculture and natural resources ,23348,22835,23002,23053,23133,24113,24982,26343,28630,30972,33592,35116,36277
 Business management ,255592,268042,272075,278432,287157,294255,306497,316284,324251,327529,322485,319431,323627
 Business support ,273,160,264,226,176,211,138,157,189,132,133,124,112
 Communications and design ,83597,89051,92214,95134,97076,100414,102363,106956,109758,110992,112507,114837,117422
 Computer and information sciences ,57433,59488,54111,47480,42170,38476,37992,39593,43066,47406,50961,55367,59581
 Consumer services ,37848,39454,41127,44428,46848,50012,51883,53455,56964,61458,65664,69840,72675
 Education ,105845,106278,105451,107238,105641,102582,101716,101287,104008,105656,104698,98854,91623
" Engineering, architecture, and science technology ",86307,86985,88893,91041,91855,93550,94722,98806,102925,108512,113081,118357,124512
 Health sciences ,71261,73934,80685,91973,101810,111484,120420,129623,143463,163675,181149,198770,216228
" Manufacturing, construction, repair, and transportation ",7009,7571,7745,8279,8790,8391,8328,8154,8160,7846,7410,7467,7703
 Marketing ,37003,38421,38648,38733,39462,39834,40408,40739,39479,38249,36967,37192,38658
 Protective services ,26200,28175,30723,35319,39206,40235,41788,43613,47600,54091,60264,62409,62723
" Public, legal, and social services ",30435,31591,34290,33912,35521,36324,36692,38111,40397,43689,45862,47765,48590
,,,,,,,,,,,,,
,,,,,,,,,,,,,
