,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Alabama,120567,124646,122165,126711,116744,117705,120670,131458,145669,148361,141161,132075,130530,126611,124305
Alaska,3904,4493,4156,3448,3937,3808,3049,2786,2996,3932,3649,4376,2752,1351,1474
Arizona,358198,381044,393336,386803,394411,388200,387338,389818,414083,422544,400288,371951,354450,338050,321461
Arkansas,63866,74266,71135,73633,76046,76935,81085,86002,92299,93465,93047,89099,82805,77786,73872
California,2493330,2507664,2248397,2244984,2254432,2306473,2390257,2661016,2641560,2534646,2356206,2212610,2223543,2214237,1945879
Colorado,162554,165069,157496,161335,143747,140152,143069,148268,174902,173804,184302,175259,167674,159029,127232
Connecticut,65745,68124,68284,69459,70323,71096,74028,80039,84510,87395,85672,85458,81490,78041,74422
Delaware,18272,18826,24189,19331,19846,19825,20621,21157,21807,21952,21225,20655,19685,19402,217
District of Columbia,44,56,45,41,32,40,38,40,32,46,46,537,866,1082,564
Florida,589005,513730,517383,519806,472699,429154,423860,327919,296758,253103,229491,182039,162000,165399,149752
Georgia,209938,212720,230901,241023,236862,222833,227169,237901,282802,293057,241520,235360,212886,199398,185706
Hawaii,38422,39229,39544,35117,33723,33422,34765,37666,42345,43976,43470,43006,42095,38765,38287
Idaho,19173,19739,20242,20840,20247,21426,21038,22841,25435,26906,39539,38392,38717,37598,36304
Illinois,688808,706141,711324,712398,697316,700881,700253,718663,750455,735757,728955,705050,673449,633738,609585
Indiana,121455,125030,131562,120555,119646,122291,131120,149115,183715,188982,185776,190385,188281,181783,172036
Iowa,108546,114806,121874,124754,127277,128032,130528,133369,147241,160202,153175,149662,145528,142073,141122
Kansas,132505,135230,131723,130110,127813,128201,129370,137144,145434,147062,142488,145930,139205,134865,132450
Kentucky,110403,120079,125102,122182,126788,130106,140858,141893,156178,162581,160050,146281,135575,123003,111507
Louisiana,93729,86551,95047,97794,84557,90058,99507,105608,129562,132097,130575,125277,123991,118747,111332
Maine,14796,16463,17780,18053,19675,21390,22589,24190,26023,25794,27703,26828,26683,25603,25169
Maryland,168860,174486,175460,176279,178583,173586,181052,193108,212309,214796,214094,206694,197328,190768,184733
Massachusetts,130536,131688,132333,129731,130020,133354,137868,143776,152991,154822,153726,153081,152476,145665,137480
Michigan,347820,350664,344802,358230,356015,373345,361290,378142,395099,394338,372717,351432,313232,274373,239904
Minnesota,168868,171362,169852,167768,166439,167779,174733,182196,197675,198695,196455,193502,185082,180687,175453
Mississippi,86480,97838,100533,107001,105446,96896,100130,106955,122904,125125,119168,112245,108321,106468,103829
Missouri,143510,143744,146976,146034,148428,148905,152573,159732,179074,182890,178859,168156,158893,152831,144239
Montana,13189,13238,14376,14296,16252,15882,15489,17092,19699,16537,16289,15852,15305,15336,14639
Nebraska,75140,78441,75685,79072,84870,86035,88842,89714,92927,91479,89645,88124,81378,72256,66906
Nevada,77219,81319,29006,32128,31044,23436,23966,26349,29816,29811,28317,28160,27211,26415,24987
New Hampshire,17474,20347,20404,20999,21184,21044,20946,22005,22044,23429,23086,22639,23224,23522,22352
New Jersey,201732,204602,213645,223981,223942,229809,237787,250048,269251,272147,268710,262230,252846,244709,235532
New Mexico,97915,103245,107247,106519,106603,103882,110805,118712,128481,129467,125904,122818,119581,112589,107454
New York,393764,426255,434119,451113,451975,453788,456481,475868,510396,529821,528708,517420,505286,503355,477704
North Carolina,265042,285938,298759,319578,289372,286650,297234,335865,366056,375461,370216,364560,359674,349554,336012
North Dakota,12895,12996,14164,14853,13659,14032,9555,9568,10731,10184,10568,10177,10101,10176,10038
Ohio,275953,297888,306314,301886,308928,312455,323894,337438,369274,380016,344121,316915,311911,297601,290951
Oklahoma,100875,106117,107609,109055,110444,105569,107287,111965,120330,126451,118859,114497,106009,101305,100401
Oregon,163660,161105,152435,154564,152165,153961,164400,182903,194806,200962,199980,191647,179751,170178,170155
Pennsylvania,221279,233882,243077,245560,252337,259844,267338,280855,311824,314433,295466,282261,269176,255855,239938
Rhode Island,24173,23167,24489,24346,23269,24062,25004,24866,24797,27297,27273,26176,24712,23162,21911
South Carolina,107118,112836,113800,113861,113955,116095,121862,131040,145427,147025,151547,150274,143282,136984,131645
South Dakota,7202,7440,7463,7705,7617,7723,7492,7659,9032,9193,8984,9187,9052,9051,8813
Tennessee,119785,114320,123162,139913,140426,142967,144213,155615,172699,176218,170172,163886,157067,152508,152167
Texas,865055,896815,923387,903842,890134,905807,937135,1018122,1112505,1169043,1164105,1133259,1109633,1074373,1111044
Utah,59018,62959,75521,75332,73181,74980,74273,80122,87495,87465,74692,70798,65721,64069,58080
Vermont,5290,9528,9952,9799,10128,9943,10031,10518,11428,12002,11009,10429,10794,10774,9497
Virginia,248849,249648,239569,246478,251290,257996,265076,281987,302100,308654,307819,297183,290692,277970,265042
Washington,328276,339882,331029,328822,327394,273538,279520,262560,277163,274872,244464,221813,173412,143434,104942
West Virginia,15729,20913,27343,29614,31660,31527,31759,31570,37540,39419,36502,34737,29344,30474,31008
Wisconsin,162881,164201,172329,176519,179156,154329,157547,164050,177635,180193,174307,170955,166005,159103,133275
Wyoming,27193,29661,30025,31217,33223,34062,35272,38629,37899,38957,38518,37690,35833,33762,31753
