State,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Alabama,121915,126609,123814,129083,118218,118456,121395,132696,147083,150214,143225,134138,132233,128247,126588
Alaska,5499,5826,5952,4922,7634,5424,4638,4319,4654,5114,4909,4376,2752,3018,3447
Arizona,366036,389289,401834,396212,402754,397909,397413,400891,427096,438322,415873,387586,367651,350945,333984
Arkansas,74165,81128,74531,77012,79210,80418,84782,89941,97066,99300,99153,94781,88554,83576,78364
California,2587448,2608570,2345987,2341047,2345248,2397427,2492574,2784633,2766737,2668491,2458917,2303682,2304326,2279034,2005887
Colorado,171297,174252,173872,168958,160715,152464,153752,159894,185152,185176,194679,183798,175209,166867,134187
Connecticut,76187,79108,80255,82559,85088,86997,92172,98722,106231,109247,106285,104904,100107,95202,90322
Delaware,19261,19767,25359,20604,20904,21289,22529,23359,24935,26164,25733,24651,22853,22449,2711
District of Columbia,2647,2783,2834,2990,2299,2025,2389,1033,1174,1301,1507,2293,3061,2953,1676
Florida,623995,548233,550865,552435,504957,466941,461683,374474,339179,300566,275535,224136,201804,203658,187407
Georgia,220815,222917,245272,257067,252942,240324,244289,254420,300849,307447,255122,248239,225630,210439,194767
Hawaii,39520,39981,40238,35729,34528,34077,35466,38209,43059,45079,44545,43595,42627,39214,38669
Idaho,19657,20239,20780,21379,20947,21926,21572,23575,26185,27635,39913,38943,39139,37912,36626
Illinois,701193,721313,729890,734793,720504,725691,723735,745681,783649,767567,759281,737131,702721,653255,623270
Indiana,124116,128436,135663,124909,123842,126791,136029,154969,190744,197942,193917,197929,196280,189053,177789
Iowa,108546,114806,121874,124754,127277,128260,130599,133449,147350,160283,153250,149695,145577,142107,141167
Kansas,139288,142144,137979,137883,136264,136077,135309,143563,153411,155341,150376,150696,144146,138925,136341
Kentucky,110723,120483,125623,122771,127468,131093,141496,142492,156761,163071,160408,146845,136397,124194,112863
Louisiana,100839,95476,103791,106765,91198,99237,113120,121037,139888,143221,143910,138639,136685,135453,128257
Maine,15859,17648,19157,19567,21351,22750,24315,26207,28152,28141,30515,29839,29083,28215,26965
Maryland,173895,179662,182616,184154,186935,182473,190856,204354,224183,229033,226619,218243,208839,199011,192845
Massachusetts,140776,141816,145593,144801,145297,147563,153136,162208,174928,176572,171937,168874,166466,157513,148430
Michigan,361833,366302,361604,376741,373382,394851,385128,406094,423885,424966,399247,377126,338764,297370,259376
Minnesota,171143,173898,172893,171289,170559,171884,179619,187502,203776,204684,202103,198966,189975,184584,178221
Mississippi,87866,98870,101467,108534,107114,98616,101964,109021,125529,127544,121789,115039,111100,109354,106696
Missouri,147494,147472,150702,150188,154348,154656,158995,167220,188836,192696,187800,176799,167207,159582,149811
Montana,13189,13303,14656,14465,16375,15968,15556,17161,19789,16561,16338,15929,15366,15395,14702
Nebraska,75237,78598,75854,79314,85036,86263,88992,89714,92927,91479,89645,88124,81378,72256,66906
Nevada,78391,81669,30085,33261,33490,26490,26937,30010,34143,34031,32761,31790,30206,29333,28140
New Hampshire,18506,21188,21510,22684,23111,23073,22926,24073,24277,26125,25676,25149,25627,25777,24342
New Jersey,221253,226421,238080,247384,247905,254280,263710,278518,307430,313293,307868,297534,283348,268606,254648
New Mexico,98680,104325,108357,108204,108220,106289,112883,121191,132103,133959,128989,125652,122363,115112,109970
New York,423549,458946,466627,485165,485731,487224,489776,514360,556725,577111,574073,558118,547177,544371,513426
North Carolina,267891,288898,301577,322248,292582,289877,301202,340846,372877,383304,377903,372407,368183,357557,342628
North Dakota,12906,13016,14185,14866,13673,14047,9570,9578,10746,10202,10579,10243,10191,10249,10092
Ohio,299774,322225,321965,317936,327283,332566,344990,362510,398950,409762,371628,341798,336001,318692,308178
Oklahoma,112053,119653,120872,122288,124780,117984,121523,125922,137260,143531,139523,134449,124265,120514,117572
Oregon,165578,163681,154508,157404,155108,156755,167118,185056,197568,203671,202304,193915,181431,171751,172034
Pennsylvania,240877,257515,264253,263141,270917,279428,285639,301051,333875,334402,315696,302760,289689,275316,256542
Rhode Island,26927,26784,28179,28640,27880,29019,30170,30327,30835,30269,29001,27794,26293,25751,24576
South Carolina,108788,114478,116228,116320,116482,118595,124313,134316,149824,152694,156820,155280,148027,141827,136044
Tennessee,30820,31214,28278,11708,12224,13441,13177,13104,16373,17843,17695,17206,16745,16174,15482
Texas,156611,156872,174356,194682,197726,203803,207526,211254,243083,244419,221336,209391,204025,195768,192399
Utah,876769,905398,926974,907000,894887,910336,940184,1020901,1115476,1172331,1169334,1138991,1117732,1082334,1124121
Vermont,59106,63111,75644,75490,73377,75173,74472,80313,87716,87722,74953,71082,65888,64220,58288
Virginia,14697,18932,18630,18077,16889,16483,14198,14450,15988,17367,16839,16711,17822,17799,15323
Washington,256290,257366,247827,255770,260367,266540,272314,288667,310995,317450,316615,305191,297255,284494,270194
West Virginia,329516,341277,332117,330268,328731,274867,280962,263581,278913,276829,247241,224207,175937,145816,107169
Wisconsin,16133,21889,27960,30433,33203,33396,33847,32902,39312,42094,39684,34963,29542,31492,32010
Wyoming,162897,164214,172341,176542,179183,154342,157547,164050,177635,180193,174307,170955,166005,159103,133275
