State,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
Alabama,0.038502235,-0.02207584,0.042555769,-0.08417065,0.00201323,0.0248109,0.093092796,0.108420751,0.0212873,-0.046526955,-0.063445628,-0.014201792,-0.030143761,-0.012935975
Alaska,0.059465357,0.021627188,-0.173051075,0.55099553,-0.289494367,-0.144911504,-0.068779646,0.077564251,0.098839708,-0.040086038,-0.108576085,-0.371115174,0.096656977,0.142147117
Arizona,0.063526538,0.032225416,-0.013990852,0.016511363,-0.012029676,-0.001246516,0.008751601,0.065366895,0.026284489,-0.051215773,-0.068018361,-0.051433746,-0.045439833,-0.04832951
Arkansas,0.093885256,-0.081315945,0.033288162,0.028541007,0.0152506,0.054266458,0.06085018,0.079218599,0.023015268,-0.001480363,-0.044093472,-0.065698821,-0.056214287,-0.062362401
California,0.008163256,-0.100661665,-0.002105724,0.001794496,0.02224882,0.039687131,0.117171647,-0.0064267,-0.0355097,-0.078536521,-0.063131452,0.000279552,-0.010975878,-0.119852095
Colorado,0.01725074,-0.00218075,-0.02826217,-0.048787273,-0.051339327,0.008447896,0.039947448,0.157967153,0.000129623,0.051318745,-0.055892007,-0.04673065,-0.047611709,-0.195844595
Connecticut,0.038339874,0.014499166,0.028708492,0.030632638,0.022435596,0.05948481,0.071062796,0.076062073,0.028390959,-0.027112873,-0.012993367,-0.045727522,-0.048997573,-0.051259427
Delaware,0.026270702,0.282895735,-0.187507394,0.01456028,0.018417528,0.058246043,0.036841404,0.067468642,0.049288149,-0.016473016,-0.042047177,-0.072938218,-0.017678204,-0.879237383
District of Columbia,0.05137892,0.018325548,0.055045872,-0.231103679,-0.119182253,0.179753086,-0.567601507,0.136495644,0.108177172,0.158339739,0.521566025,0.334932403,-0.035282587,-0.432441585
Florida,-0.121414434,0.004800878,0.002850063,-0.085943143,-0.075285618,-0.011260523,-0.188893678,-0.094252204,-0.113842543,-0.083279546,-0.186542545,-0.099635935,0.009187132,-0.07979554
Georgia,0.009519281,0.100283962,0.048089468,-0.0160464,-0.049884954,0.01649856,0.041471372,0.182489584,0.021931268,-0.170191936,-0.026979249,-0.09107755,-0.06732704,-0.074472888
Hawaii,0.01166498,0.006428053,-0.112058253,-0.033614151,-0.013061863,0.04076063,0.077341679,0.126933445,0.046912376,-0.011845871,-0.021326748,-0.022204381,-0.080066624,-0.013898098
Idaho,0.029607773,0.02673057,0.028825794,-0.020206745,0.046737003,-0.016145216,0.092851845,0.110710498,0.055375215,0.444291659,-0.024302859,0.005032997,-0.031349805,-0.033920658
Illinois,0.028693954,0.011890816,0.006717451,-0.019446293,0.007199127,-0.002695362,0.030323254,0.050917215,-0.020521943,-0.010795149,-0.029172335,-0.046680983,-0.07039209,-0.045900912
Indiana,0.034806149,0.05626927,-0.079269956,-0.008542219,0.0238126,0.072860061,0.139235016,0.230852622,0.037736443,-0.020334239,0.020689264,-0.00833127,-0.036819849,-0.059581176
Iowa,0.057671402,0.061564727,0.023630963,0.0202238,0.007723312,0.018236395,0.021822525,0.104167135,0.087770614,-0.04387864,-0.02319739,-0.027509269,-0.023836183,-0.006614734
Kansas,0.020504279,-0.029301272,-0.000695758,-0.011741839,-0.001372336,-0.005643863,0.061001116,0.068597062,0.012580584,-0.031961942,0.002127999,-0.043464989,-0.036220221,-0.018599964
Kentucky,0.088147901,0.04266162,-0.022702849,0.038258221,0.02843851,0.079355877,0.007039068,0.100138955,0.040252359,-0.01633031,-0.084553139,-0.071149852,-0.089466777,-0.091236292
Louisiana,-0.053183788,0.087089949,0.028653737,-0.14580621,0.088148863,0.139897417,0.069987624,0.155745764,0.023826204,0.004810747,-0.036627059,-0.014094158,-0.009013425,-0.053125438
Maine,0.112806608,0.08550544,0.021402098,0.091173915,0.065523863,0.068791209,0.07781205,0.074216812,-0.000390736,0.084360897,-0.022153039,-0.02533597,-0.029845614,-0.044302676
