State,Y2008_09,Y2009_10,Y2010_11,Y2011_12,Y2012_13,Y2013_14,Y2014_15,Y2015_16
Alabama,267661,275149,282914,282605,277346,271945,268693,267544
Alaska,50003,54554,54785,56517,52524,52939,52999,46509
Arizona,793693,798926,823348,766730,705958,658700,645145,585557
Arkansas,124693,131840,136341,139026,137439,135595,135941,136443
California,1212860,1215823,1236818,1253102,1255046,1396253,1391054,1690838
Colorado,307811,335645,353907,349973,337409,340431,338500,366239
Connecticut,157303,164477,169094,173546,174324,175848,178518,179510
Delaware,46085,47540,48204,48932,52185,53546,56207,74576
District of Columbia,171721,114243,114264,110775,107430,108110,105539,111094
Florida,1110483,1275983,1393771,1430187,1438870,1420404,1379362,1348889
Georgia,417777,461676,484227,491108,476657,483171,483747,490310
Hawaii,55381,57005,57888,58210,57258,56043,53253,50722
Idaho,94629,97076,101961,105482,115032,117530,114246,135956
Illinois,619770,633105,643433,625032,613540,600010,595403,585154
Indiana,403180,423494,433362,425070,416760,413115,412834,398268
Iowa,337905,395868,416415,407994,383101,243129,238994,227007
Kansas,154029,152570,155255,156090,162477,180156,179155,170036
Kentucky,195492,210896,217056,218736,216133,207793,208694,205151
Louisiana,205152,208542,208856,208029,203383,197993,195353,203178
Maine,64928,64626,67117,66685,67932,68684,67864,69037
Maryland,263031,280586,285591,290209,286012,280412,288179,293304
Massachusetts,471648,481982,488183,493566,496543,498060,499386,505220
Michigan,499445,522780,523396,518828,512828,507728,511986,513702
Minnesota,379974,411910,427163,417691,411487,406699,407016,399722
Mississippi,102139,106400,110790,114982,113961,113680,114017,115748
Missouri,388487,407404,433025,432481,420454,395170,389343,381122
Montana,46285,48893,52301,52679,51836,51224,49603,48971
Nebraska,111312,114560,115748,114788,114146,115547,114945,116408
Nevada,143489,150019,151822,141220,134711,135244,133471,127055
New Hampshire,72626,75610,75415,78951,90591,113885,140871,154892
New Jersey,286543,296224,304937,305620,294113,305851,308171,311542
New Mexico,82539,85727,91238,90172,89354,88732,83892,79576
New York,1121718,1136852,1154172,1163757,1159765,1156276,1157374,1152794
North Carolina,361817,381642,385427,384070,386807,385394,386404,382446
North Dakota,54519,57397,60793,61037,59745,61090,59183,56952
Ohio,559123,595720,621272,631996,610854,601639,592365,578764
Oklahoma,175263,182984,191011,189728,188561,185516,179734,175669
Oregon,162897,171397,176912,180123,181666,184960,185631,184190
Pennsylvania,673172,708294,715620,709604,692258,684737,677768,670758
Rhode Island,76577,77584,76916,76322,75375,74789,74721,75115
South Carolina,168349,178241,184255,183544,182832,185790,184285,180095
South Dakota,59012,62002,65683,65602,65291,64060,67153,63624
Tennessee,254465,274334,282058,284429,284758,276525,269036,262994
Texas,850851,905259,947077,960988,969972,979673,1006192,1032039
Utah,229817,243462,266316,296180,304214,306185,324288,344865
Vermont,46898,49223,47995,49050,49154,47365,47715,48184
Virginia,398161,450812,475325,491504,488015,485317,484286,477181
Washington,278256,285640,282564,282539,287162,333561,362640,395575
West Virginia,151743,175100,194024,207204,212796,209336,201339,192273
Wisconsin,308934,322387,330844,322050,315794,308596,303661,309740
Wyoming,17149,14739,15083,14916,14894,14770,14520,14381
