State,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Alabama,1348,1963,1649,2372,1474,751,725,1238,1414,1853,2064,2063,1703,1636,2283
Alaska,1595,1333,1796,1474,3697,1616,1589,1533,1658,1182,1260,0,0,1667,1973
Arizona,7838,8245,8498,9409,8343,9709,10075,11073,13013,15778,15585,15635,13201,12895,12523
Arkansas,10299,6862,3396,3379,3164,3483,3697,3939,4767,5835,6106,5682,5749,5790,4492
California,94118,100906,97590,96063,90816,90954,102317,123617,125177,133845,102711,91072,80783,64797,60008
Colorado,8743,9183,16376,7623,16968,12312,10683,11626,10250,11372,10377,8539,7535,7838,6955
Connecticut,10442,10984,11971,13100,14765,15901,18144,18683,21721,21852,20613,19446,18617,17161,15900
Delaware,989,941,1170,1273,1058,1464,1908,2202,3128,4212,4508,3996,3168,3047,2494
District of Columbia,2603,2727,2789,2949,2267,1985,2351,993,1142,1255,1461,1756,2195,1871,1112
Florida,34990,34503,33482,32629,32258,37787,37823,46555,42421,47463,46044,42097,39804,38259,37655
Georgia,10877,10197,14371,16044,16080,17491,17120,16519,18047,14390,13602,12879,12744,11041,9061
Hawaii,1098,752,694,612,805,655,701,543,714,1103,1075,589,532,449,382
Idaho,484,500,538,539,700,500,534,734,750,729,374,551,422,314,322
Illinois,12385,15172,18566,22395,23188,24810,23482,27018,33194,31810,30326,32081,29272,19517,13685
Indiana,2661,3406,4101,4354,4196,4500,4909,5854,7029,8960,8141,7544,7999,7270,5753
Iowa,0,0,0,0,0,228,71,80,109,81,75,33,49,34,45
Kansas,6783,6914,6256,7773,8451,7876,5939,6419,7977,8279,7888,4766,4941,4060,3891
Kentucky,320,404,521,589,680,987,638,599,583,490,358,564,822,1191,1356
Louisiana,7110,8925,8744,8971,6641,9179,13613,15429,10326,11124,13335,13362,12694,16706,16925
Maine,1063,1185,1377,1514,1676,1360,1726,2017,2129,2347,2812,3011,2400,2612,1796
Maryland,5035,5176,7156,7875,8352,8887,9804,11246,11874,14237,12525,11549,11511,8243,8112
Massachusetts,10240,10128,13260,15070,15277,14209,15268,18432,21937,21750,18211,15793,13990,11848,10950
Michigan,14013,15638,16802,18511,17367,21506,23838,27952,28786,30628,26530,25694,25532,22997,19472
Minnesota,2275,2536,3041,3521,4120,4105,4886,5306,6101,5989,5648,5464,4893,3897,2768
Mississippi,1386,1032,934,1533,1668,1720,1834,2066,2625,2419,2621,2794,2779,2886,2867
Missouri,3984,3728,3726,4154,5920,5751,6422,7488,9762,9806,8941,8643,8314,6751,5572
Montana,0,65,280,169,123,86,67,69,90,24,49,77,61,59,63
Nebraska,97,157,169,242,166,228,150,0,0,0,0,0,0,0,0
Nevada,1172,350,1079,1133,2446,3054,2971,3661,4327,4220,4444,3630,2995,2918,3153
New Hampshire,1032,841,1106,1685,1927,2029,1980,2068,2233,2696,2590,2510,2403,2255,1990
New Jersey,19521,21819,24435,23403,23963,24471,25923,28470,38179,41146,39158,35304,30502,23897,19116
New Mexico,765,1080,1110,1685,1617,2407,2078,2479,3622,4492,3085,2834,2782,2523,2516
New York,29785,32691,32508,34052,33756,33436,33295,38492,46329,47290,45365,40698,41891,41016,35722
North Carolina,2849,2960,2818,2670,3210,3227,3968,4981,6821,7843,7687,7847,8509,8003,6616
North Dakota,11,20,21,13,14,15,15,10,15,18,11,66,90,73,54
Ohio,23821,24337,15651,16050,18355,20111,21096,25072,29676,29746,27507,24883,24090,21091,17227
Oklahoma,11178,13536,13263,13233,14336,12415,14236,13957,16930,17080,20664,19952,18256,19209,17171
Oregon,1918,2576,2073,2840,2943,2794,2718,2153,2762,2709,2324,2268,1680,1573,1879
Pennsylvania,19598,23633,21176,17581,18580,19584,18301,20196,22051,19969,20230,20499,20513,19461,16604
Rhode Island,2754,3617,3690,4294,4611,4957,5166,5461,6038,2972,1728,1618,1581,2589,2665
South Carolina,1670,1642,2428,2459,2527,2500,2451,3276,4397,5669,5273,5006,4745,4843,4399
Tennessee,23618,23774,20815,4003,4607,5718,5685,5445,7341,8650,8711,8019,7693,7123,6669
Texas,36826,42552,51194,54769,57300,60836,63313,55639,70384,68201,51164,45505,46958,43260,40232
Utah,11714,8583,3587,3158,4753,4529,3049,2779,2971,3288,5229,5732,8099,7961,13077
Vermont,88,152,123,158,196,193,199,191,221,257,261,284,167,151,208
Virginia,9407,9404,8678,8278,6761,6540,4167,3932,4560,5365,5830,6282,7028,7025,5826
Washington,7441,7718,8258,9292,9077,8544,7238,6680,8895,8796,8796,8008,6563,6524,5152
West Virginia,1240,1395,1088,1446,1337,1329,1442,1021,1750,1957,2777,2394,2525,2382,2227
Wisconsin,404,976,617,819,1543,1869,2088,1332,1772,2675,3182,226,198,1018,1002
Wyoming,16,13,12,23,27,13,0,0,0,0,0,0,0,0,0
