In Current Dollars,Y2008_09,Y2009_10,Y2010_11,Y2011_12,Y2012_13,Y2013_14,Y2014_15,Y2015_16
Alaska,4678,4922,5261,5455,5785,5885,6138,6703
Alabama,5968,6487,7373,8001,8734,9161,9480,9746
Arkansas,5914,5980,6304,6654,6995,7251,7594,7882
Arizona,5584,6554,8075,9435,9728,10078,10396,10634
California,5436,6550,7485,8933,8986,9078,9171,9267
Colorado,5792,6270,7078,7872,8441,9096,9283,9748
Connecticut,8038,8456,8977,9217,9635,10232,10646,11174
District of Columbia,3770,5370,7000,7000,7244,7255,7338,7421
Delaware,8291,9012,9623,10438,10908,11259,11495,11676
Florida,3825,4316,5034,5624,6235,6315,6334,6360
Georgia,4453,5008,5872,7298,7539,7823,8049,8447
Hawaii,5823,6638,7458,8368,8613,9073,9696,10175
Iowa,6433,6712,7155,7562,7831,7837,7855,7877
Idaho,4612,4886,5330,5682,5989,6325,6599,6818
Illinois,10021,10410,10969,11630,12168,12580,12791,13027
Indiana,7222,7643,7988,8343,8715,8926,9033,9120
Kansas,6010,6312,6627,6920,7280,7729,8256,8443
Kentucky,6809,7116,7519,7974,8462,8701,9208,9567
Louisiana,4073,4282,4733,5246,5875,6605,7324,8130
Massachusetts,8239,9239,9488,10165,10649,10748,10968,11615
Maryland,7392,7476,7737,7961,8210,8480,8682,9163
Maine,8078,8544,8945,9366,9363,9391,9544,9573
Michigan,9130,9761,10135,10841,11193,11600,11599,11994
Minnesota,8317,8788,9387,10018,10361,10464,10564,10831
Missouri,7228,7215,7271,7685,7945,8093,8395,8553
Mississippi,4947,4952,5294,5673,6159,6565,6859,7147
Montana,5336,5485,5612,5881,6155,6225,6291,6351
North Carolina,4391,4539,5323,5689,6201,6516,6673,6969
North Dakota,6107,6335,6569,6861,7006,7274,7514,7688
Nebraska,5956,6234,6600,6906,7184,7315,7335,7608
New Hampshire,10293,11075,11946,13502,14615,14652,14731,15160
New Jersey,10748,11133,11649,12030,12417,12723,13005,13306
New Mexico,4520,4786,5128,5435,5678,5960,6155,6406
Nevada,4397,4543,5318,6043,6390,6387,6427,6661
New York,5121,5740,5793,6204,6562,6926,7293,7645
Ohio,8474,8505,9056,9448,9768,9942,10087,10205
Oklahoma,5641,5421,5750,6071,6403,6583,7082,7450
Oregon,6239,6906,7434,7994,8312,8600,8934,9371
Pennsylvania,10353,10764,11331,12085,12377,12802,13135,13393
Puerto Rico,1868,1892,2549,2613,2741,1912,2088,2110
Rhode Island,7727,8503,9319,10014,10921,10896,10959,11396
South Carolina,9132,9520,10063,10356,10744,11166,11450,11816
South Dakota,5698,6031,6318,6793,7388,7644,7700,8055
Tennessee,5686,6098,6522,7170,7676,8036,8925,9263
Texas,6919,7328,7744,8053,8344,8521,8837,9221
Utah,4275,4573,4916,5300,5612,5914,6161,6363
Virginia,7581,7936,8809,9535,9901,10366,11183,11818
Vermont,11341,12016,12474,13095,13525,13965,14476,14993
Washington,6433,7321,8197,9494,10595,10811,10685,10287
Wisconsin,6796,7169,7711,8197,8690,8741,8770,8809
West Virginia,4707,4980,5226,5536,5885,6253,6687,7143
Wyoming,3621,3726,3927,4125,4278,4404,4646,4891
